deployment,n_episodes,truth,pred_prior,abs_err_prior,abs_err_own_1,abs_err_own_2,abs_err_own_3,abs_err_own_5,abs_err_own_8,abs_err_own_12,abs_err_own_20,abs_err_own_35,abs_err_own_60
pandas-dev__pandas,1026,0.5906432748538012,0.6102966689798751,0.01965339412607392,0.5906432748538012,0.09064327485380119,0.07602339181286544,0.009356725146198785,0.1593567251461988,0.007309941520467822,0.09064327485380119,0.13350041771094406,0.07397660818713447
pallets__click,225,0.6283185840707964,0.6085425661231504,0.019776017947646052,0.37168141592920356,0.12831858407079644,0.03834808259587019,0.22831858407079642,0.12831858407079644,0.12831858407079644,0.02831858407079646,0.05739570164348928,0.05501474926253691
lincolnloop__python-qrcode,227,0.4649122807017544,0.6104380632990988,0.1455257825973444,0.4649122807017544,0.03508771929824561,0.20175438596491224,0.06491228070175437,0.08991228070175439,0.13157894736842107,0.06491228070175437,0.06491228070175437,0.0017543859649122862
cookiecutter__cookiecutter,124,0.5645161290322581,0.6091076049753735,0.04459147594311541,0.4354838709677419,0.4354838709677419,0.4354838709677419,0.03548387096774186,0.18951612903225812,0.14784946236559143,0.06451612903225812,0.05023041474654388,0.06881720430107519
cantools__cantools,368,0.6956521739130435,0.6073627393101122,0.08828943460293126,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.10434782608695659,0.05434782608695654,0.05434782608695654,0.04565217391304344,0.018633540372670843,0.05434782608695654
tobymao__sqlglot,246,0.7479674796747967,0.6083654975667058,0.13960198210809094,0.2520325203252033,0.2520325203252033,0.08130081300813008,0.052032520325203335,0.12296747967479671,0.16463414634146334,0.09796747967479669,0.14796747967479673,0.13130081300813
mozilla__bleach,135,0.47058823529411764,0.6097214682423686,0.13913323294825097,0.5294117647058824,0.5294117647058824,0.196078431372549,0.3294117647058824,0.15441176470588236,0.196078431372549,0.17941176470588238,0.10084033613445376,0.04607843137254908
python-jsonschema__jsonschema,183,0.6086956521739131,0.6088120841876229,0.00011643201370981071,0.3913043478260869,0.3913043478260869,0.05797101449275355,0.19130434782608696,0.016304347826086918,0.025362318840579712,0.05869565217391304,0.008695652173913104,0.02463768115942022
pdfminer__pdfminer,167,0.6547619047619048,0.6088229144888145,0.04593899027309023,0.6547619047619048,0.15476190476190477,0.32142857142857145,0.05476190476190479,0.029761904761904767,0.0714285714285714,0.05476190476190479,0.08333333333333337,0.011904761904761862
pylint-dev__astroid,441,0.6380090497737556,0.608645996362252,0.02936305341150358,0.6380090497737556,0.1380090497737556,0.02865761689291102,0.16199095022624443,0.01300904977375561,0.02865761689291102,0.03800904977375563,0.1522947640594699,0.07134238310708896
PyCQA__flake8,205,0.7281553398058253,0.608200360179252,0.1199549796265732,0.27184466019417475,0.27184466019417475,0.27184466019417475,0.27184466019417475,0.27184466019417475,0.18851132686084138,0.07184466019417479,0.07101248266296811,0.011488673139158578
